ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	KEGG_PATHWAY	OMIM_DISEASE	REACTOME_PATHWAY
IL7	interleukin 7(IL7)	Homo sapiens	"GO:0002360~T cell lineage commitment,GO:0006955~immune response,GO:0006959~humoral immune response,GO:0007267~cell-cell signaling,GO:0008284~positive regulation of cell proliferation,GO:0009887~organ morphogenesis,GO:0010468~regulation of gene expression,GO:0030890~positive regulation of B cell proliferation,GO:0043066~negative regulation of apoptotic process,GO:0043086~negative regulation of catalytic activity,GO:0045453~bone resorption,GO:0045582~positive regulation of T cell differentiation,GO:0046622~positive regulation of organ growth,GO:0048873~homeostasis of number of cells within a tissue,GO:2001240~negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,"	"GO:0005125~cytokine activity,GO:0005139~interleukin-7 receptor binding,GO:0005515~protein binding,GO:0008083~growth factor activity,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04151:PI3K-Akt signaling pathway,hsa04630:Jak-STAT signaling pathway,hsa04640:Hematopoietic cell lineage,"		"R-HSA-1266695:R-HSA-1266695,"
LIFR	leukemia inhibitory factor receptor alpha(LIFR)	Homo sapiens	"GO:0007166~cell surface receptor signaling pathway,GO:0008284~positive regulation of cell proliferation,GO:0019221~cytokine-mediated signaling pathway,GO:0034097~response to cytokine,GO:0038165~oncostatin-M-mediated signaling pathway,GO:0048861~leukemia inhibitory factor signaling pathway,GO:0070120~ciliary neurotrophic factor-mediated signaling pathway,"	"GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0043235~receptor complex,GO:0070062~extracellular exosome,"	"GO:0004896~cytokine receptor activity,GO:0004897~ciliary neurotrophic factor receptor activity,GO:0004923~leukemia inhibitory factor receptor activity,GO:0004924~oncostatin-M receptor activity,GO:0005127~ciliary neurotrophic factor receptor binding,GO:0005515~protein binding,GO:0019838~growth factor binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04630:Jak-STAT signaling pathway,"	"601559~Stuve-Wiedemann syndrome/Schwartz-Jampel type 2 syndrome,"	"R-HSA-6788467:R-HSA-6788467,"
MMP1	matrix metallopeptidase 1(MMP1)	Homo sapiens	"GO:0006508~proteolysis,GO:0016032~viral process,GO:0022617~extracellular matrix disassembly,GO:0030574~collagen catabolic process,GO:0032461~positive regulation of protein oligomerization,GO:0044267~cellular protein metabolic process,GO:0050900~leukocyte migration,"	"GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005581~collagen trimer,GO:0031012~extracellular matrix,"	"GO:0004175~endopeptidase activity,GO:0004222~metalloendopeptidase activity,GO:0004252~serine-type endopeptidase activity,GO:0005509~calcium ion binding,GO:0008270~zinc ion binding,"	"hsa03320:PPAR signaling pathway,hsa05200:Pathways in cancer,hsa05219:Bladder cancer,hsa05323:Rheumatoid arthritis,"	"226600~Epidermolysis bullosa dystrophica, autosomal recessive, modifier of,606963~COPD, rate of decline of lung function in,"	"R-HSA-1442490:R-HSA-1442490,R-HSA-1474228:R-HSA-1474228,R-HSA-1592389:R-HSA-1592389,R-HSA-210991:R-HSA-210991,R-HSA-381426:R-HSA-381426,"
MMP10	matrix metallopeptidase 10(MMP10)	Homo sapiens	"GO:0006508~proteolysis,GO:0022617~extracellular matrix disassembly,GO:0030334~regulation of cell migration,GO:0030574~collagen catabolic process,"	"GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005615~extracellular space,GO:0031012~extracellular matrix,"	"GO:0004222~metalloendopeptidase activity,GO:0004252~serine-type endopeptidase activity,GO:0005509~calcium ion binding,GO:0008270~zinc ion binding,"			"R-HSA-1442490:R-HSA-1442490,R-HSA-1474228:R-HSA-1474228,R-HSA-1592389:R-HSA-1592389,"
MMP12	matrix metallopeptidase 12(MMP12)	Homo sapiens	"GO:0006508~proteolysis,GO:0022617~extracellular matrix disassembly,GO:0030574~collagen catabolic process,GO:0035313~wound healing, spreading of epidermal cells,GO:0060054~positive regulation of epithelial cell proliferation involved in wound healing,"	"GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,"	"GO:0004175~endopeptidase activity,GO:0004222~metalloendopeptidase activity,GO:0004252~serine-type endopeptidase activity,GO:0005509~calcium ion binding,GO:0008270~zinc ion binding,"			"R-HSA-1442490:R-HSA-1442490,R-HSA-1474228:R-HSA-1474228,"
MUC16	"mucin 16, cell surface associated(MUC16)"	Homo sapiens	"GO:0007155~cell adhesion,GO:0016266~O-glycan processing,"	"GO:0005615~extracellular space,GO:0005796~Golgi lumen,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0019898~extrinsic component of membrane,GO:0031982~vesicle,GO:0070062~extracellular exosome,"	"GO:0005515~protein binding,"			"R-HSA-913709:R-HSA-913709,R-HSA-977068:R-HSA-977068,"
MPO	myeloperoxidase(MPO)	Homo sapiens	"GO:0001878~response to yeast,GO:0002149~hypochlorous acid biosynthetic process,GO:0002679~respiratory burst involved in defense response,GO:0006952~defense response,GO:0006979~response to oxidative stress,GO:0007568~aging,GO:0009612~response to mechanical stimulus,GO:0019430~removal of superoxide radicals,GO:0032094~response to food,GO:0032496~response to lipopolysaccharide,GO:0034374~low-density lipoprotein particle remodeling,GO:0042742~defense response to bacterium,GO:0042744~hydrogen peroxide catabolic process,GO:0043066~negative regulation of apoptotic process,GO:0044130~negative regulation of growth of symbiont in host,GO:0050832~defense response to fungus,GO:0055114~oxidation-reduction process,GO:1990268~response to gold nanoparticle,"	"GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005739~mitochondrion,GO:0005764~lysosome,GO:0030141~secretory granule,GO:0042582~azurophil granule,GO:0070062~extracellular exosome,"	"GO:0003682~chromatin binding,GO:0004601~peroxidase activity,GO:0008201~heparin binding,GO:0020037~heme binding,GO:0046872~metal ion binding,"	"hsa04145:Phagosome,hsa05202:Transcriptional misregulation in cancer,"	"104300~Alzheimer disease, susceptibility to,254600~Myeloperoxidase deficiency,Lung cancer, protection against, in smokers~Lung cancer, protection against, in smokers,"	
MB	myoglobin(MB)	Homo sapiens	"GO:0001666~response to hypoxia,GO:0007507~heart development,GO:0009725~response to hormone,GO:0015671~oxygen transport,GO:0031444~slow-twitch skeletal muscle fiber contraction,GO:0042542~response to hydrogen peroxide,GO:0043353~enucleate erythrocyte differentiation,GO:0050873~brown fat cell differentiation,"	"GO:0070062~extracellular exosome,"	"GO:0005344~oxygen transporter activity,GO:0019825~oxygen binding,GO:0020037~heme binding,GO:0046872~metal ion binding,"			
NPPB	natriuretic peptide B(NPPB)	Homo sapiens	"GO:0006182~cGMP biosynthetic process,GO:0007166~cell surface receptor signaling pathway,GO:0007168~receptor guanylyl cyclase signaling pathway,GO:0007589~body fluid secretion,GO:0008217~regulation of blood pressure,GO:0016525~negative regulation of angiogenesis,GO:0030308~negative regulation of cell growth,GO:0035810~positive regulation of urine volume,GO:0035815~positive regulation of renal sodium excretion,GO:0042312~regulation of vasodilation,GO:0043114~regulation of vascular permeability,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0043234~protein complex,"	"GO:0005102~receptor binding,GO:0005179~hormone activity,GO:0005515~protein binding,GO:0008613~diuretic hormone activity,"	"hsa04022:cGMP-PKG signaling pathway,"		
OSM	oncostatin M(OSM)	Homo sapiens	"GO:0002675~positive regulation of acute inflammatory response,GO:0006955~immune response,GO:0007275~multicellular organism development,GO:0007422~peripheral nervous system development,GO:0008283~cell proliferation,GO:0008284~positive regulation of cell proliferation,GO:0008285~negative regulation of cell proliferation,GO:0009408~response to heat,GO:0033138~positive regulation of peptidyl-serine phosphorylation,GO:0038165~oncostatin-M-mediated signaling pathway,GO:0040008~regulation of growth,GO:0042503~tyrosine phosphorylation of Stat3 protein,GO:0042506~tyrosine phosphorylation of Stat5 protein,GO:0042508~tyrosine phosphorylation of Stat1 protein,GO:0042517~positive regulation of tyrosine phosphorylation of Stat3 protein,GO:0043410~positive regulation of MAPK cascade,GO:0045835~negative regulation of meiotic nuclear division,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046888~negative regulation of hormone secretion,GO:0048266~behavioral response to pain,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0051781~positive regulation of cell division,GO:2001235~positive regulation of apoptotic signaling pathway,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005622~intracellular,"	"GO:0005125~cytokine activity,GO:0005147~oncostatin-M receptor binding,GO:0008083~growth factor activity,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04151:PI3K-Akt signaling pathway,hsa04630:Jak-STAT signaling pathway,"		"R-HSA-6788467:R-HSA-6788467,"
PAPPA	pappalysin 1(PAPPA)	Homo sapiens	"GO:0006508~proteolysis,GO:0007565~female pregnancy,GO:0032354~response to follicle-stimulating hormone,GO:0044267~cellular protein metabolic process,GO:0051384~response to glucocorticoid,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0016021~integral component of membrane,"	"GO:0004222~metalloendopeptidase activity,GO:0008237~metallopeptidase activity,GO:0008270~zinc ion binding,"			"R-HSA-381426:R-HSA-381426,"
PTX3	pentraxin 3(PTX3)	Homo sapiens	"GO:0001878~response to yeast,GO:0006954~inflammatory response,GO:0008228~opsonization,GO:0044869~negative regulation by host of viral exo-alpha-sialidase activity,GO:0044871~negative regulation by host of viral glycoprotein metabolic process,GO:0045087~innate immune response,GO:0045429~positive regulation of nitric oxide biosynthetic process,GO:0046597~negative regulation of viral entry into host cell,GO:0050766~positive regulation of phagocytosis,GO:1903016~negative regulation of exo-alpha-sialidase activity,GO:1903019~negative regulation of glycoprotein metabolic process,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,"	"GO:0001849~complement component C1q binding,GO:0001872~(1->3)-beta-D-glucan binding,GO:0005515~protein binding,GO:0042802~identical protein binding,GO:0046790~virion binding,"			
PRL	prolactin(PRL)	Homo sapiens	"GO:0007166~cell surface receptor signaling pathway,GO:0007565~female pregnancy,GO:0007595~lactation,GO:0008283~cell proliferation,GO:0040014~regulation of multicellular organism growth,GO:0044267~cellular protein metabolic process,GO:0046427~positive regulation of JAK-STAT cascade,GO:0060397~JAK-STAT cascade involved in growth hormone signaling pathway,"	"GO:0005576~extracellular region,GO:0005622~intracellular,"	"GO:0005148~prolactin receptor binding,GO:0005179~hormone activity,GO:0005515~protein binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04080:Neuroactive ligand-receptor interaction,hsa04151:PI3K-Akt signaling pathway,hsa04630:Jak-STAT signaling pathway,hsa04917:Prolactin signaling pathway,"		"R-HSA-1170546:R-HSA-1170546,R-HSA-977225:R-HSA-977225,R-HSA-982772:R-HSA-982772,"
REN	renin(REN)	Homo sapiens	"GO:0001822~kidney development,GO:0001823~mesonephros development,GO:0002003~angiotensin maturation,GO:0002018~renin-angiotensin regulation of aldosterone production,GO:0006508~proteolysis,GO:0008217~regulation of blood pressure,GO:0008584~male gonad development,GO:0009755~hormone-mediated signaling pathway,GO:0030163~protein catabolic process,GO:0032496~response to lipopolysaccharide,GO:0035690~cellular response to drug,GO:0035902~response to immobilization stress,GO:0042756~drinking behavior,GO:0043408~regulation of MAPK cascade,GO:0048469~cell maturation,GO:0050435~beta-amyloid metabolic process,GO:0051591~response to cAMP,GO:0070305~response to cGMP,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005764~lysosome,GO:0005886~plasma membrane,"	"GO:0004190~aspartic-type endopeptidase activity,GO:0005102~receptor binding,GO:0005159~insulin-like growth factor receptor binding,GO:0008233~peptidase activity,"	"hsa04614:Renin-angiotensin system,hsa04924:Renin secretion,"	"267430~Renal tubular dysgenesis,613092~Hyperuricemic nephropathy, familial juvenile 2,Hyperproreninemia~Hyperproreninemia,"	"R-HSA-2022377:R-HSA-2022377,"
RNASE3	ribonuclease A family member 3(RNASE3)	Homo sapiens	"GO:0002227~innate immune response in mucosa,GO:0006401~RNA catabolic process,GO:0019731~antibacterial humoral response,GO:0050830~defense response to Gram-positive bacterium,GO:0090501~RNA phosphodiester bond hydrolysis,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0070062~extracellular exosome,"	"GO:0003676~nucleic acid binding,GO:0004519~endonuclease activity,GO:0004540~ribonuclease activity,"	"hsa05310:Asthma,"		
SELE	selectin E(SELE)	Homo sapiens	"GO:0002092~positive regulation of receptor internalization,GO:0002523~leukocyte migration involved in inflammatory response,GO:0006954~inflammatory response,GO:0007155~cell adhesion,GO:0007157~heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,GO:0007159~leukocyte cell-cell adhesion,GO:0007202~activation of phospholipase C activity,GO:0019722~calcium-mediated signaling,GO:0030029~actin filament-based process,GO:0032496~response to lipopolysaccharide,GO:0034612~response to tumor necrosis factor,GO:0050727~regulation of inflammatory response,GO:0050900~leukocyte migration,GO:0050901~leukocyte tethering or rolling,GO:0070555~response to interleukin-1,"	"GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0005901~caveola,GO:0005905~clathrin-coated pit,GO:0016021~integral component of membrane,GO:0030863~cortical cytoskeleton,GO:0045121~membrane raft,GO:0048471~perinuclear region of cytoplasm,"	"GO:0004888~transmembrane signaling receptor activity,GO:0005515~protein binding,GO:0033691~sialic acid binding,GO:0043274~phospholipase binding,GO:0070492~oligosaccharide binding,"	"hsa04514:Cell adhesion molecules (CAMs),hsa04668:TNF signaling pathway,hsa05143:African trypanosomiasis,hsa05144:Malaria,"	"145500~Blood pressure regulation QTL,"	"R-HSA-202733:R-HSA-202733,"
SELPLG	selectin P ligand(SELPLG)	Homo sapiens	"GO:0007155~cell adhesion,GO:0046718~viral entry into host cell,GO:0050900~leukocyte migration,GO:0050902~leukocyte adhesive activation,GO:0071354~cellular response to interleukin-6,"	"GO:0001931~uropod,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,"	"GO:0001618~virus receptor activity,GO:0005102~receptor binding,GO:0005515~protein binding,"	"hsa04514:Cell adhesion molecules (CAMs),hsa05150:Staphylococcus aureus infection,"		"R-HSA-202733:R-HSA-202733,"
SLAMF1	signaling lymphocytic activation molecule family member 1(SLAMF1)	Homo sapiens	"GO:0001779~natural killer cell differentiation,GO:0001787~natural killer cell proliferation,GO:0002277~myeloid dendritic cell activation involved in immune response,GO:0002725~negative regulation of T cell cytokine production,GO:0006909~phagocytosis,GO:0007155~cell adhesion,GO:0007165~signal transduction,GO:0008284~positive regulation of cell proliferation,GO:0031338~regulation of vesicle fusion,GO:0032695~negative regulation of interleukin-12 production,GO:0032715~negative regulation of interleukin-6 production,GO:0032720~negative regulation of tumor necrosis factor production,GO:0035744~T-helper 1 cell cytokine production,GO:0042104~positive regulation of activated T cell proliferation,GO:0045087~innate immune response,GO:0046330~positive regulation of JNK cascade,GO:0046649~lymphocyte activation,GO:0046718~viral entry into host cell,GO:0050790~regulation of catalytic activity,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:1902714~negative regulation of interferon-gamma secretion,GO:1902715~positive regulation of interferon-gamma secretion,GO:2000349~negative regulation of CD40 signaling pathway,"	"GO:0009897~external side of plasma membrane,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0045335~phagocytic vesicle,GO:0070062~extracellular exosome,"	"GO:0001618~virus receptor activity,GO:0003823~antigen binding,GO:0004872~receptor activity,GO:0004888~transmembrane signaling receptor activity,GO:0005515~protein binding,"	"hsa05162:Measles,"		
TNFSF14	tumor necrosis factor superfamily member 14(TNFSF14)	Homo sapiens	"GO:0006915~apoptotic process,GO:0006955~immune response,GO:0007165~signal transduction,GO:0008588~release of cytoplasmic sequestered NF-kappaB,GO:0010820~positive regulation of T cell chemotaxis,GO:0031295~T cell costimulation,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0042098~T cell proliferation,GO:0042110~T cell activation,GO:0043029~T cell homeostasis,GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0045663~positive regulation of myoblast differentiation,GO:0071260~cellular response to mechanical stimulus,GO:1901741~positive regulation of myoblast fusion,"	"GO:0005615~extracellular space,GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,"	"GO:0005102~receptor binding,GO:0005125~cytokine activity,GO:0005164~tumor necrosis factor receptor binding,GO:0005515~protein binding,GO:0043027~cysteine-type endopeptidase inhibitor activity involved in apoptotic process,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04064:NF-kappa B signaling pathway,hsa05168:Herpes simplex infection,"		"R-HSA-5668541:R-HSA-5668541,R-HSA-5669034:R-HSA-5669034,R-HSA-5676594:R-HSA-5676594,"
